"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"BMP4","BUMPON_0.400SQX0.100","1825mil","2600mil","1725mil","2700mil","1825mil","2600mil","B","180.00","BUMPON_0.400SQ_0.100H"
"BMP3","BUMPON_0.400SQX0.100","1875mil","300mil","1775mil","400mil","1875mil","300mil","B","180.00","BUMPON_0.400SQ_0.100H"
"BMP2","BUMPON_0.400SQX0.100","375mil","275mil","275mil","375mil","375mil","275mil","B","180.00","BUMPON_0.400SQ_0.100H"
"BMP1","BUMPON_0.400SQX0.100","475mil","2600mil","375mil","2700mil","475mil","2600mil","B","180.00","BUMPON_0.400SQ_0.100H"
"P3","TERMSTRIP_SSW-110-02-G-D-RA","1000mil","200mil","1000mil","200mil","1450mil","250mil","T","180.00","TERMSTRIP_SSW-110-02-G-D-RA"
"P1","SOCKSTRIP_SSW-114-01-F-D","650mil","1990mil","650mil","1990mil","600mil","2640mil","T","0.00","SOCKSTRIP_SSW-114-01-F-D"
"P2","SOCKSTRIP_SSW-114-01-F-D","1350mil","1990mil","1350mil","1990mil","1300mil","2640mil","T","0.00","SOCKSTRIP_SSW-114-01-F-D"
"C1","CAP0603","1550mil","1840mil","1550mil","1840mil","1520mil","1840mil","T","0.00","CAP0603_0.1uF_50V"
"C2","CAP0603","410mil","2655mil","410mil","2655mil","440mil","2655mil","T","180.00","CAP0603_0.001uF"
"C4","CAP0603","1549.969mil","2339.954mil","1549.969mil","2339.954mil","1519.969mil","2339.954mil","T","0.00","CAP0603_0.1uF_50V"
"C5","CAP0603","300mil","1550mil","300mil","1550mil","330mil","1550mil","T","180.00","CAP0603_0.47uF_10V"
"D2","LED_0805_RED","1570mil","1640mil","1570mil","1640mil","1610mil","1640mil","T","180.00","LED_0805_RED"
"D3","LED_0805_GRN","1570mil","1440mil","1570mil","1440mil","1610mil","1440mil","T","180.00","LED_0805_GRN"
"J1","HDR_PINSTRIP_1X6_RA_961106-5604-AR","1000mil","2840mil","1000mil","2840mil","1250mil","2840mil","T","360.00","HEADER_1X6_PICKIT2_RA"
"R1","RES0603","440mil","2850mil","440mil","2850mil","440mil","2880mil","T","270.00","RES0603_47K"
"R2","RES0603","410mil","2740mil","410mil","2740mil","380mil","2740mil","T","0.00","RES0603_100R"
"R3","RES0603","490mil","2320mil","490mil","2320mil","490mil","2290mil","T","90.00","RES0603_20K"
"R4","RES0603","395mil","2350mil","395mil","2350mil","425mil","2350mil","T","180.00","RES0603_20K"
"R5","RES0603","1550mil","2240mil","1550mil","2240mil","1520mil","2240mil","T","0.00","RES0603_1K"
"R6","RES0603","250mil","2400mil","250mil","2400mil","220mil","2400mil","T","0.00","RES0603_47K"
"R7","RES0603","450mil","1450mil","450mil","1450mil","480mil","1450mil","T","180.00","RES0603_20K"
"R8","RES_POT_3352T","327.5mil","2100mil","200mil","2100mil","330mil","2000mil","T","90.00","RES_POT_10K_3352T-103LF"
"R9","RES0603","300mil","1450mil","300mil","1450mil","330mil","1450mil","T","180.00","RES0603_20K"
"R10","RES0603","1745mil","1640mil","1745mil","1640mil","1715mil","1640mil","T","0.00","RES0603_200R"
"R11","RES0603","1745mil","1440mil","1745mil","1440mil","1715mil","1440mil","T","0.00","RES0603_200R"
"TP1","TESTPOINT_#5000_RED","100mil","2800mil","100mil","2800mil","100mil","2800mil","T","0.00","TESTPOINT_#5000_RED"
"TP2","TESTPOINT_#5001_BLK","100mil","2600mil","100mil","2600mil","100mil","2600mil","T","0.00","TESTPOINT_#5001_BLK"
"U1","SSOP-28","1000mil","2000mil","1000mil","2000mil","864.173mil","2166.339mil","T","0.00","PIC16F1783-I/SS"

